Grid Name,Latitude,Longitude
Grid-5-6,24.822,66.69
Grid-5-7,24.822,66.708
Grid-5-8,24.822,66.726
Grid-5-9,24.822,66.744
Grid-5-10,24.822,66.762
Grid-5-11,24.822,66.78
Grid-5-12,24.822,66.798
Grid-5-13,24.822,66.816
Grid-5-14,24.822,66.834
Grid-5-15,24.822,66.852
Grid-5-16,24.822,66.87
Grid-5-17,24.822,66.888
Grid-5-18,24.822,66.906
Grid-5-19,24.822,66.924
Grid-5-20,24.822,66.942
Grid-5-21,24.822,66.96
Grid-5-22,24.822,66.978
Grid-5-23,24.822,66.996
Grid-5-24,24.822,67.014
Grid-5-25,24.822,67.032
Grid-5-26,24.822,67.05
Grid-5-27,24.822,67.068
Grid-5-28,24.822,67.086
Grid-6-1,24.84,66.6
Grid-6-2,24.84,66.618
Grid-6-3,24.84,66.636
Grid-6-4,24.84,66.654
Grid-6-5,24.84,66.672
Grid-6-6,24.84,66.69
Grid-6-7,24.84,66.708
Grid-6-8,24.84,66.726
Grid-6-9,24.84,66.744
Grid-6-10,24.84,66.762
Grid-6-11,24.84,66.78
Grid-6-12,24.84,66.798
Grid-6-13,24.84,66.816
Grid-6-14,24.84,66.834
Grid-6-15,24.84,66.852
Grid-6-16,24.84,66.87
Grid-6-17,24.84,66.888
Grid-6-18,24.84,66.906
Grid-6-19,24.84,66.924
Grid-6-20,24.84,66.942
Grid-6-21,24.84,66.96
Grid-6-22,24.84,66.978
Grid-6-23,24.84,66.996
Grid-6-24,24.84,67.014
Grid-6-25,24.84,67.032
Grid-6-26,24.84,67.05
Grid-6-27,24.84,67.068
Grid-6-28,24.84,67.086
Grid-7-1,24.858,66.6
Grid-7-2,24.858,66.618
Grid-7-3,24.858,66.636
Grid-7-4,24.858,66.654
Grid-7-5,24.858,66.672
Grid-7-6,24.858,66.69
Grid-7-7,24.858,66.708
Grid-7-8,24.858,66.726
Grid-7-9,24.858,66.744
Grid-7-10,24.858,66.762
Grid-7-11,24.858,66.78
Grid-7-12,24.858,66.798
Grid-7-13,24.858,66.816
Grid-7-14,24.858,66.834
Grid-7-15,24.858,66.852
Grid-7-16,24.858,66.87
Grid-7-17,24.858,66.888
Grid-7-18,24.858,66.906
Grid-7-19,24.858,66.924
Grid-7-20,24.858,66.942
Grid-7-21,24.858,66.96
Grid-7-22,24.858,66.978
Grid-7-23,24.858,66.996
Grid-7-24,24.858,67.014
Grid-7-25,24.858,67.032
Grid-7-26,24.858,67.05
Grid-7-27,24.858,67.068
Grid-7-28,24.858,67.086
Grid-8-1,24.876,66.6
Grid-8-2,24.876,66.618
Grid-8-3,24.876,66.636
Grid-8-4,24.876,66.654
Grid-8-5,24.876,66.672
Grid-8-6,24.876,66.69
Grid-8-7,24.876,66.708
Grid-8-8,24.876,66.726
Grid-8-9,24.876,66.744
Grid-8-10,24.876,66.762
Grid-8-11,24.876,66.78
Grid-8-12,24.876,66.798
Grid-8-13,24.876,66.816
Grid-8-14,24.876,66.834
Grid-8-15,24.876,66.852
Grid-8-16,24.876,66.87
Grid-8-17,24.876,66.888
Grid-8-18,24.876,66.906
Grid-8-19,24.876,66.924
Grid-8-20,24.876,66.942
Grid-8-21,24.876,66.96
Grid-8-22,24.876,66.978
Grid-8-23,24.876,66.996
Grid-8-24,24.876,67.014
Grid-8-25,24.876,67.032
Grid-8-26,24.876,67.05
Grid-8-27,24.876,67.068
Grid-8-28,24.876,67.086
Grid-9-1,24.894,66.6
Grid-9-2,24.894,66.618
Grid-9-3,24.894,66.636
Grid-9-4,24.894,66.654
Grid-9-5,24.894,66.672
Grid-9-6,24.894,66.69
Grid-9-7,24.894,66.708
Grid-9-8,24.894,66.726
Grid-9-9,24.894,66.744
Grid-9-10,24.894,66.762
Grid-9-11,24.894,66.78
Grid-9-12,24.894,66.798
Grid-9-13,24.894,66.816
Grid-9-14,24.894,66.834
Grid-9-15,24.894,66.852
Grid-9-16,24.894,66.87
Grid-9-17,24.894,66.888
Grid-9-18,24.894,66.906
Grid-9-19,24.894,66.924
Grid-9-20,24.894,66.942
Grid-9-21,24.894,66.96
Grid-9-22,24.894,66.978
Grid-9-23,24.894,66.996
Grid-9-24,24.894,67.014
Grid-9-25,24.894,67.032
Grid-9-26,24.894,67.05
Grid-9-27,24.894,67.068
Grid-9-28,24.894,67.086
Grid-10-1,24.912,66.6
Grid-10-2,24.912,66.618
Grid-10-3,24.912,66.636
Grid-10-4,24.912,66.654
Grid-10-5,24.912,66.672
Grid-10-6,24.912,66.69
Grid-10-7,24.912,66.708
Grid-10-8,24.912,66.726
Grid-10-9,24.912,66.744
Grid-10-10,24.912,66.762
Grid-10-11,24.912,66.78
Grid-10-12,24.912,66.798
Grid-10-13,24.912,66.816
Grid-10-14,24.912,66.834
Grid-10-15,24.912,66.852
Grid-10-16,24.912,66.87
Grid-10-17,24.912,66.888
Grid-10-18,24.912,66.906
Grid-10-19,24.912,66.924
Grid-10-20,24.912,66.942
Grid-10-21,24.912,66.96
Grid-10-22,24.912,66.978
Grid-10-23,24.912,66.996
Grid-10-24,24.912,67.014
Grid-10-25,24.912,67.032
Grid-10-26,24.912,67.05
Grid-10-27,24.912,67.068
Grid-10-28,24.912,67.086
Grid-11-1,24.93,66.6
Grid-11-2,24.93,66.618
Grid-11-3,24.93,66.636
Grid-11-4,24.93,66.654
Grid-11-5,24.93,66.672
Grid-11-6,24.93,66.69
Grid-11-7,24.93,66.708
Grid-11-8,24.93,66.726
Grid-11-9,24.93,66.744
Grid-11-10,24.93,66.762
Grid-11-11,24.93,66.78
Grid-11-12,24.93,66.798
Grid-11-13,24.93,66.816
Grid-11-14,24.93,66.834
Grid-11-15,24.93,66.852
Grid-11-16,24.93,66.87
Grid-11-17,24.93,66.888
Grid-11-18,24.93,66.906
Grid-11-19,24.93,66.924
Grid-11-20,24.93,66.942
Grid-11-21,24.93,66.96
Grid-11-22,24.93,66.978
Grid-11-23,24.93,66.996
Grid-11-24,24.93,67.014
Grid-11-25,24.93,67.032
Grid-11-26,24.93,67.05
Grid-11-27,24.93,67.068
Grid-11-28,24.93,67.086
Grid-12-1,24.948,66.6
Grid-12-2,24.948,66.618
Grid-12-3,24.948,66.636
Grid-12-4,24.948,66.654
Grid-12-5,24.948,66.672
Grid-12-6,24.948,66.69
Grid-12-7,24.948,66.708
Grid-12-8,24.948,66.726
Grid-12-9,24.948,66.744
Grid-12-10,24.948,66.762
Grid-12-11,24.948,66.78
Grid-12-12,24.948,66.798
Grid-12-13,24.948,66.816
Grid-12-14,24.948,66.834
Grid-12-15,24.948,66.852
Grid-12-16,24.948,66.87
Grid-12-17,24.948,66.888
Grid-12-18,24.948,66.906
Grid-12-19,24.948,66.924
Grid-12-20,24.948,66.942
