Business Name,Latitude,Longitude,Status,Category
Matab Hakeem Syed Mutti,24.9207276,67.1002328,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr. Kishore Khatri,24.9232465,67.093026,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
Noor optics & eye care,24.9220817,67.0923855,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Shafi Homeopathic Clinic,24.9226067,67.0925753,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Fizza Eye Care Center,24.920848,67.0922446,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Yashfeen dawa khana,24.9219508,67.0922048,OPERATIONAL,"doctor, health, point_of_interest, establishment"
Dr AQ Khan,24.9327034,67.1043412,OPERATIONAL,"point_of_interest, doctor, health, establishment"
DIABETIC CLINIC,24.928132,67.1048967,OPERATIONAL,"doctor, point_of_interest, health, establishment"
DR.ASIFA SHAKIR HOMOEO CLINIC,24.9283384,67.108686,OPERATIONAL,"doctor, point_of_interest, health, establishment"
Reviv - Times General Hospital,24.9320982,67.1022395,OPERATIONAL,"point_of_interest, doctor, health, establishment"
Dr.Syeda Anis Fatima Zaidi,24.927846,67.099445,OPERATIONAL,"doctor, point_of_interest, health, establishment"
Zaheer Medical Center,24.9244009,67.1021318,OPERATIONAL,"doctor, point_of_interest, health, establishment"
Shaheen Medical Centre and Ultrasound Clinic,24.923735,67.1026573,OPERATIONAL,"doctor, point_of_interest, health, establishment"
Al Haq Pharmacy,24.9145009,67.0678234,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Saqlain Dawakhana,24.9147851,67.0650085,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Unique Homoeopathic Store And Clinic,24.9150586,67.0641977,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
WAHEED MEDICAL & SUPERSTORE,24.9156184,67.064887,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
FAISAL MEDICO,24.9098923,67.0717662,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Ayyan General Store,24.9110138,67.0720492,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Bin zaheer pharmacy,24.9098979,67.0726086,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Rajput Medical & General Store,24.917258,67.0670173,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Al-Khidmat Water Filtration Plant,24.9165055,67.070319,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
DO CLINIC PHARMACY,24.9104014,67.0739086,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Tayab Noor Medical,24.9090177,67.0588591,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Shifa medical store and homeopathic,24.9105649,67.0744057,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
N.S Medical and General Store,24.909846,67.0580933,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Hussain Medical Store,24.9099151,67.0580159,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Ahmed medicos and mart,24.9108072,67.0756184,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
DVAGO Pharmacy & Wellness Experts,24.9130559,67.0800331,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
New Saver's Pharmacy,24.9125195,67.0803375,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Nasa Pharmacy,24.9131105,67.0810341,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Kashif Medicos,24.9134831,67.0811365,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Health Mart,24.913606,67.0813142,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Mushtaq Memorial Homeo Clinic,24.9142324,67.080958,OPERATIONAL,"pharmacy, drugstore, point_of_interest, health, store, establishment"
Subhanallah Medical,24.9062345,67.0792916,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Super Medicos,24.9058446,67.0788332,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Blue Star Medical Center,24.9078774,67.0819554,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Marhaba Medical & General Store,24.905252,67.0783431,OPERATIONAL,"pharmacy, food, point_of_interest, health, store, establishment"
Bilal Medicos,24.9142032,67.0822793,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
Homeopathy Clinic,24.9219488,67.0771879,OPERATIONAL,"drugstore, pharmacy, point_of_interest, store, health, establishment"
Marhaba medical store,24.9191309,67.0760242,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
De Medico,24.9189389,67.0757849,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
Medieval pharmacy,24.9182901,67.0737432,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
Al Shahab Homoeopathic Store & Clinic,24.9174142,67.0755545,OPERATIONAL,"drugstore, pharmacy, point_of_interest, store, health, establishment"
"Ghousia Medical Store ,Zia Ul Haq Colony,Gulshan E Iqbal Block 1",24.9208562,67.0809195,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
Bissmillah Medical & General Store,24.9176484,67.0805513,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
Zeenat medico,24.911373,67.0870167,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Karim Housing Private Ltd,24.9111573,67.0873208,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Al-Habib Medical Store,24.9117335,67.0882654,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Mohammadi Homeopathic Store,24.9120987,67.0887438,OPERATIONAL,"pharmacy, drugstore, health, store, point_of_interest, establishment"
Usmania Homeopathic Store & Clinic,24.9122102,67.0889029,OPERATIONAL,"pharmacy, drugstore, health, store, point_of_interest, establishment"
Rohilla Clinic / V Care pharmacy,24.9092463,67.083908,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Memon Medicine Point,24.909166,67.0834669,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Al-Mustafa medical Store,24.9082842,67.08324,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Hadi Medical Store,24.9082833,67.0829584,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
