Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category,,,,name,id,cmp_customer_id
ChIJ-14cKrs9sz4RlomNWdAw3yQ,,Park Lane Hospital,24.8167051,67.0314415,OPERATIONAL,"hospital, health, point_of_interest, establishment",3040,,,PHARMA SQUARE,2411,191-12188
ChIJ4WKNzbs9sz4RP0UR_AEnIok,,Dr. Asif Niaz Arain & Associates Dental Professionals,24.821293,67.031337,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,ZAYAN MEDICAL STORE,2412,191-10760
ChIJi7wtQK49sz4RkFWgwCmVte0,,Eterna Health,24.8138531,67.0276277,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,KAMAL PHARMACY,2413,191-1107
ChIJOaeNpKI9sz4RO-i6iEjLCW0,,Dr. Abid Mahmood Dental Clinic,24.8140289,67.0232645,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,PAKISTAN MEDICAL STORE,2414,191-492
ChIJaS-u2ew9sz4RT9nkXmpVHR4,,South City Hospital - OPD Bldg.,24.8135099,67.022388,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,ASIF MEDICAL STORE.,2415,191-5229
ChIJL_72imM9sz4RG9tZbqMihyQ,,Dr younus and Associates Dental clinic,24.8081101,67.0298125,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,HASSAN ENTERPRISES,2416,191-2910
ChIJncZi-pc9sz4RamD7AeY5rGQ,,The Eye Center,24.8157416,67.0219549,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,ASMA MEDICAL STORE,2417,191-5228
ChIJsTzJ-bw9sz4RxMwGmqD9gFE,,Childer Hospital,24.818138,67.0262786,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,SUNNY MEDICOS & SUPER STORE,2418,191-617
ChIJX0XuQSs9sz4R18aVWwe7roc,,BMI Physiotherapy Clinic,24.817968,67.0233884,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AKBAR MEDICAL STORE,2419,191-10280
ChIJPyN0CAA-sz4R5ShduLw9aJ4,,Medifit - Physiotherapy & Rehabilitation,24.8178244,67.0233105,OPERATIONAL,"physiotherapist, hospital, health, point_of_interest, establishment",#N/A,,,MUMTAZ MEDICAL STORE,2420,191-5199
ChIJBQPRJlE9sz4RvksQn3iJ2n0,,Dr Iffat Yazdani - Best Nephrologist Karachi,24.8176098,67.0228693,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment",#N/A,,,BIN HASHIM PARMACY AND SUPER M,2421,191-9278
ChIJj-OD2Jc9sz4RKKgHF0pqqqo,,Medical Frequency Centre Clifton Branch,24.8168608,67.0225864,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,THE PSYCHO SOCIAL PHARMACY,2422,191-2103
ChIJvbUR0rg9sz4RBb6C1zs4K_Y,,Aga Khan Family Health Care Center,24.825026,67.0288991,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,DR. ABDULLAH,2423,191-5945
ChIJZc-mzbs9sz4Rq6HTFi1Gx_o,,CBRL,24.8212409,67.0313562,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,KARACHI DRUG MART,2424,191-8191
ChIJoVsl0ss9sz4ReBnsxQoNw4I,,Begum Haji Yousuf Hospital,24.8321803,67.040999,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AZIZ MEDICAL STORE,2425,191-7582
ChIJAePQgP89sz4RnGau-66aCno,,Fee Sabilillah Health Care 1 (Bathisland Campus),24.8352656,67.026226,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,OWASI MEDICAL STORE,2426,191-8015
ChIJP64sQR49sz4RijVw6gnxzh8,,PRC - Parvarish Rehabilitation Treatment Center,24.8304547,67.0311683,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ALI CHEMIST.,2427,191-6533
ChIJTwdo3649sz4RhkKfEdFJV-A,,Samreen's Ultrasound Clinic,24.8343757,67.0306237,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,KHYBER M/S,2428,191-8385
ChIJ5f2Vkjs9sz4RMZKAnCn6emg,,Concept Fertility Centre Pakistan,24.8297208,67.0329781,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ADIL BROTHERS MEDICAL STORE.,2429,191-3841
ChIJi0RO3MU9sz4RsCGr863ojGM,,"Jps (CT Scan, MRI & MRA) Diagnostic Centre",24.8338748,67.032838,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,SEVEN 86 MEDICOS,2430,191-10850
ChIJTbtBKBo9sz4RiLW1DUOjlJ8,,Advanced kidney and Fertility Centre karachi,24.8340012,67.0328573,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,SEBKO MEDICAL STORE.,2431,191-4749
ChIJlbLUSeM8sz4RW4ov35nEt28,,Bluedot Healthcare,24.7965935,67.0509124,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,HEALTH LINK PHARMACY,2432,191-14510
ChIJuSXte1M8sz4Rz4Zqwe_QxXA,,Neuropsychology Center Pakistan,24.8140096,67.0489758,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AL GHOUSIA MEDICAL STORE,2433,191-10449
ChIJVVVVfAY9sz4RgKUDr8OS8Zc,,UKIRO Health Care,24.8010461,67.0373471,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,MUZAMMIL MEDICAL STORE,2434,191-2633
ChIJabe1hAY9sz4RlxRu0-h8kb8,,Dr Dental Surgery,24.8012106,67.0383734,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,HADIQA MEDICAL STORE,2435,191-13920
ChIJX9J0uzc7sz4RdzlevA-5fuc,,Hashmmi Clinic,24.8069342,67.036945,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,CARE MEDICAL STORE,2436,191-6651
ChIJq71H29xBsz4RtObuaDuWvl8,,R3 Stem Cell Karachi,24.8057163,67.0294708,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,ALI CHEMIST,2437,191-2092
ChIJs-3Y5vw9sz4R07BRHxicJXQ,,Doctor,24.8063569,67.0300763,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,QUALITY SUPER STORE.,2438,191-8453
ChIJ0_odyKk9sz4RBQP57iNLcTc,,Dr. Qaisra Skin and Laser Clinic,24.8077393,67.0382163,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,A.M .PM MART AND MEDICAL,2439,191-10636
ChIJ67g4xw89sz4RHSxvy7SM3Kc,,Medical and dental care clinic,24.8080162,67.0378662,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,ALI MEDICAL STORE.,2440,191-1572
ChIJ7Zmrjqg9sz4R-p7IJegHF2M,,Ocaf Hospital,24.8090187,67.0356426,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,GERRYS CHEMIST.,2441,191-4926
ChIJayUznZI9sz4RSwyrnnuflUs,,Mohammadi Clinic,24.8088119,67.0375138,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AL-SHAIKH MEDICAL STORE,2442,191-1354
ChIJAbhvxSo9sz4RpqN6Cimx29s,,Aafiyah - Family Health Clinics,24.8089815,67.0341005,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,SHABBIRI MEDICAL STORE,2443,191-642
ChIJqc6HAlE9sz4RvmL4U5q22jc,,Five Health Infirmary,24.8092288,67.034817,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,RAZA PHARMACY,2444,191-11523
ChIJEQgHG7M9sz4ROsn2wB5nsX8,,FOCUS EYE CARE & EYE WARE Optical Solution,24.7975921,67.0438075,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,D.A.A MEDICOS,2445,191-3501
ChIJ1ZYfUhg9sz4RjQWeakmTAVw,,Medifit - Physiotherapy & Rehabilitation,24.808981,67.0394764,OPERATIONAL,"physiotherapist, hospital, health, point_of_interest, establishment",#N/A,,,KAUSER MEDICAL STORE.,2446,191-6481
ChIJc1CKrs09sz4RnoRgYONFvQ8,,Dr. Saad Irfan & Associates Dentistery,24.798372,67.0457176,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,MEHRAN MEDICAL STORE,2447,191-8784
