Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJvQ3oHDQ_sz4RVdHbbErNZMY,Samdani Hospital,24.9216954,67.0884593,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJv0DbBtU_sz4R62jPTAgEE6E,Roshan Homeo Clinic,24.9222907,67.0758652,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJFXxffiE_sz4RGcdSaOl5buE,A-1 Shamim Compund,24.9176106,67.0771583,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJebdq0Mw_sz4RsM0tEVReAdg,One Health Laboratory-Gulshan e Shamim,24.9173357,67.07582339999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSd7828w4sz4RHdBp0Y_jGfU,Shan Hospital,24.9191127,67.0955078,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ1a4xinc_sz4RJF3QJhAoEcQ,Herbalist AliAzam Treatment Center Gulshan e Iqbal Karachi,24.9112235,67.086967,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJvZGQosM_sz4RS3Dl1LeKm0s,Al Shahab Homoeopathic store and Clinic,24.9117108,67.08827959999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJed3umNw_sz4R745K06sNA80,Abdul Karim & H Usman Sons Trust,24.910106,67.0843889,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJtyoDJwA_sz4RihL7xca6jvc,"EPI Center, Ashfaq Memorial Hospital, Gulshan Iqbal, District East Karachi",24.90934459999999,67.08457489999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJU-hhEAA_sz4RfnS749-sTGg,"EPI Center, Al-Mustafa Hospital, Gulshan Iqbal, District East Karachi",24.908443,67.0831741,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJv37Dsyg_sz4Rm4o-EWL7DYI,Al-Mustafa Hospital,24.9083955,67.0831753,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJgz9_uLI_sz4RpSYgCNuVJ3Q,asian lab and diagnostic centre,24.90807449999999,67.0829649,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSQd8ryg_sz4RNLH7iE82wmA,University Rd Medical Services,24.9079786,67.08273799999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJufiRryg_sz4RR4HNXc4oyfY,Jawed Eye Hospital,24.9077047,67.0824026,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJfXo2Z58_sz4Rstz8pt1K644,Ayesha Clinic by Dr Ashfaq Amiwala,24.9079695,67.0821002,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJoZn0ILc4sz4RwdVbijpYOrc,Mother And Child Clinic,24.9331818,67.10312619999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
