Grid Name,Latitude,Longitude
Grid-2-2,24.716307,66.642666
Grid-2-3,24.716307,66.660666
Grid-2-4,24.716307,66.678666
Grid-2-5,24.716307,66.696666
Grid-2-6,24.716307,66.714666
Grid-2-7,24.716307,66.732666
Grid-2-8,24.716307,66.750666
Grid-2-9,24.716307,66.768666
Grid-2-10,24.716307,66.786666
Grid-2-11,24.716307,66.804666
Grid-2-12,24.716307,66.822666
Grid-2-13,24.716307,66.840666
Grid-2-14,24.716307,66.858666
Grid-2-15,24.716307,66.876666
Grid-2-16,24.716307,66.894666
Grid-2-17,24.716307,66.912666
Grid-2-18,24.716307,66.930666
Grid-2-19,24.716307,66.948666
Grid-2-20,24.716307,66.966666
Grid-2-21,24.716307,66.984666
Grid-2-22,24.716307,67.002666
Grid-2-23,24.716307,67.020666
Grid-2-24,24.716307,67.038666
Grid-2-25,24.716307,67.056666
Grid-2-26,24.716307,67.074666
Grid-2-27,24.716307,67.092666
Grid-2-28,24.716307,67.110666
Grid-2-29,24.716307,67.128666
Grid-2-30,24.716307,67.146666
Grid-2-31,24.716307,67.164666
Grid-2-32,24.716307,67.182666
Grid-2-33,24.716307,67.200666
Grid-2-34,24.716307,67.218666
Grid-2-35,24.716307,67.236666
Grid-2-36,24.716307,67.254666
Grid-2-37,24.716307,67.272666
Grid-2-38,24.716307,67.290666
Grid-2-39,24.716307,67.308666
Grid-2-40,24.716307,67.326666
Grid-2-41,24.716307,67.344666
Grid-2-42,24.716307,67.362666
Grid-2-43,24.716307,67.380666
Grid-2-44,24.716307,67.398666
Grid-2-45,24.716307,67.416666
Grid-2-46,24.716307,67.434666
Grid-2-47,24.716307,67.452666
Grid-2-48,24.716307,67.470666
Grid-2-49,24.716307,67.488666
Grid-2-50,24.716307,67.506666
Grid-2-51,24.716307,67.524666
Grid-2-52,24.716307,67.542666
Grid-2-53,24.716307,67.560666
Grid-2-54,24.716307,67.578666
Grid-2-55,24.716307,67.596666
Grid-2-56,24.716307,67.614666
Grid-2-57,24.716307,67.632666
Grid-2-58,24.716307,67.650666
Grid-2-59,24.716307,67.668666
Grid-2-60,24.716307,67.686666
Grid-2-61,24.716307,67.704666
Grid-2-62,24.716307,67.722666
Grid-3-1,24.734307,66.624666
Grid-3-2,24.734307,66.642666
Grid-3-3,24.734307,66.660666
Grid-3-4,24.734307,66.678666
Grid-3-5,24.734307,66.696666
Grid-3-6,24.734307,66.714666
Grid-3-7,24.734307,66.732666
Grid-3-8,24.734307,66.750666
Grid-3-9,24.734307,66.768666
Grid-3-10,24.734307,66.786666
Grid-3-11,24.734307,66.804666
Grid-3-12,24.734307,66.822666
Grid-3-13,24.734307,66.840666
Grid-3-14,24.734307,66.858666
Grid-3-15,24.734307,66.876666
Grid-3-16,24.734307,66.894666
Grid-3-17,24.734307,66.912666
Grid-3-18,24.734307,66.930666
Grid-3-19,24.734307,66.948666
Grid-3-20,24.734307,66.966666
Grid-3-21,24.734307,66.984666
Grid-3-22,24.734307,67.002666
Grid-3-23,24.734307,67.020666
Grid-3-24,24.734307,67.038666
Grid-3-25,24.734307,67.056666
Grid-3-26,24.734307,67.074666
Grid-3-27,24.734307,67.092666
Grid-3-28,24.734307,67.110666
Grid-3-29,24.734307,67.128666
Grid-3-30,24.734307,67.146666
Grid-3-31,24.734307,67.164666
Grid-3-32,24.734307,67.182666
Grid-3-33,24.734307,67.200666
Grid-3-34,24.734307,67.218666
Grid-3-35,24.734307,67.236666
Grid-3-36,24.734307,67.254666
Grid-3-37,24.734307,67.272666
Grid-3-38,24.734307,67.290666
Grid-3-39,24.734307,67.308666
Grid-3-40,24.734307,67.326666
Grid-3-41,24.734307,67.344666
Grid-3-42,24.734307,67.362666
Grid-3-43,24.734307,67.380666
Grid-3-44,24.734307,67.398666
Grid-3-45,24.734307,67.416666
Grid-3-46,24.734307,67.434666
Grid-3-47,24.734307,67.452666
Grid-3-48,24.734307,67.470666
Grid-3-49,24.734307,67.488666
Grid-3-50,24.734307,67.506666
Grid-3-51,24.734307,67.524666
Grid-3-52,24.734307,67.542666
Grid-3-53,24.734307,67.560666
Grid-3-54,24.734307,67.578666
Grid-3-55,24.734307,67.596666
Grid-3-56,24.734307,67.614666
Grid-3-57,24.734307,67.632666
Grid-3-58,24.734307,67.650666
Grid-3-59,24.734307,67.668666
Grid-3-60,24.734307,67.686666
Grid-3-61,24.734307,67.704666
Grid-3-62,24.734307,67.722666
Grid-4-1,24.752307,66.624666
Grid-4-2,24.752307,66.642666
Grid-4-3,24.752307,66.660666
Grid-4-4,24.752307,66.678666
Grid-4-5,24.752307,66.696666
Grid-4-6,24.752307,66.714666
Grid-4-7,24.752307,66.732666
Grid-4-8,24.752307,66.750666
Grid-4-9,24.752307,66.768666
Grid-4-10,24.752307,66.786666
Grid-4-11,24.752307,66.804666
Grid-4-12,24.752307,66.822666
Grid-4-13,24.752307,66.840666
Grid-4-14,24.752307,66.858666
Grid-4-15,24.752307,66.876666
Grid-4-16,24.752307,66.894666
Grid-4-17,24.752307,66.912666
Grid-4-18,24.752307,66.930666
Grid-4-19,24.752307,66.948666
Grid-4-20,24.752307,66.966666
Grid-4-21,24.752307,66.984666
Grid-4-22,24.752307,67.002666
Grid-4-23,24.752307,67.020666
Grid-4-24,24.752307,67.038666
Grid-4-25,24.752307,67.056666
Grid-4-26,24.752307,67.074666
Grid-4-27,24.752307,67.092666
Grid-4-28,24.752307,67.110666
Grid-4-29,24.752307,67.128666
Grid-4-30,24.752307,67.146666
Grid-4-31,24.752307,67.164666
Grid-4-32,24.752307,67.182666
Grid-4-33,24.752307,67.200666
Grid-4-34,24.752307,67.218666
Grid-4-35,24.752307,67.236666
Grid-4-36,24.752307,67.254666
Grid-4-37,24.752307,67.272666
Grid-4-38,24.752307,67.290666
Grid-4-39,24.752307,67.308666
Grid-4-40,24.752307,67.326666
Grid-4-41,24.752307,67.344666
Grid-4-42,24.752307,67.362666
Grid-4-43,24.752307,67.380666
Grid-4-44,24.752307,67.398666
Grid-4-45,24.752307,67.416666
Grid-4-46,24.752307,67.434666
Grid-4-47,24.752307,67.452666
Grid-4-48,24.752307,67.470666
Grid-4-49,24.752307,67.488666
Grid-4-50,24.752307,67.506666
Grid-4-51,24.752307,67.524666
Grid-4-52,24.752307,67.542666
Grid-4-53,24.752307,67.560666
Grid-4-54,24.752307,67.578666
Grid-4-55,24.752307,67.596666
Grid-4-56,24.752307,67.614666
Grid-4-57,24.752307,67.632666
Grid-4-58,24.752307,67.650666
Grid-4-59,24.752307,67.668666
Grid-4-60,24.752307,67.686666
Grid-4-61,24.752307,67.704666
Grid-4-62,24.752307,67.722666
Grid-5-1,24.770307,66.624666
Grid-5-2,24.770307,66.642666
Grid-5-3,24.770307,66.660666
Grid-5-4,24.770307,66.678666
Grid-5-5,24.770307,66.696666
Grid-5-6,24.770307,66.714666
Grid-5-7,24.770307,66.732666
Grid-5-8,24.770307,66.750666
Grid-5-9,24.770307,66.768666
Grid-5-10,24.770307,66.786666
Grid-5-11,24.770307,66.804666
Grid-5-12,24.770307,66.822666
Grid-5-13,24.770307,66.840666
Grid-5-14,24.770307,66.858666
Grid-5-15,24.770307,66.876666
Grid-5-16,24.770307,66.894666
Grid-5-17,24.770307,66.912666
Grid-5-18,24.770307,66.930666
Grid-5-19,24.770307,66.948666
