Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJn4zR21I5sz4RnFQW9tUGY3c,dawai time pey,24.9180625,67.09706249999999,OPERATIONAL,"pharmacy, hospital, health, point_of_interest, store, establishment"
ChIJPSVuEwA_sz4RBIGUmaIxVOU,Gulshan Medical centre,24.9238464,67.09858559999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ21BCmDQ_sz4RGysXk4P-f8Q,Dental Zone,24.9220192,67.0925279,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJT8uN8Rg5sz4RWdDQ6R4TOj0,Health Icon Medical & Diagnostic Centre,24.9210502,67.100397,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJVwJitT8_sz4RKeEZIyM4BJA,Times General Hospital ٹائِمز جَنرل ھسپتال,24.9323342,67.1023369,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJYRTDLlA_sz4RvPz5mLOW3ws,Dr Muhammad Sajid,24.9146049,67.065168,OPERATIONAL,"doctor, point_of_interest, health, establishment"
ChIJqYbgWBY_sz4RQmQexvFGoiw,Dr Nasir NASAKA,24.9155704,67.0675067,OPERATIONAL,"doctor, point_of_interest, health, establishment"
ChIJIUMXRtg_sz4R19W0BABcC9c,Mukhzan Homoeo Clinic Dr. Afshan,24.9167733,67.07064,OPERATIONAL,"doctor, point_of_interest, health, establishment"
ChIJn5MiZdc_sz4R8q9DYS-oUR4,Dr Paras Shaikh,24.9043325,67.0716928,OPERATIONAL,"doctor, point_of_interest, health, establishment"
ChIJ4Ufww485sz4RWUWhb18Dhh0,Hu wash Shafi Clinic,24.9054731,67.0749435,CLOSED_TEMPORARILY,"point_of_interest, doctor, health, establishment"
ChIJ82eMDc4_sz4RmUKjH5HFtFA,Dr Rahat Naz,24.9107266,67.0795832,OPERATIONAL,"point_of_interest, doctor, health, establishment"
ChIJvUARovs_sz4RGLT2USex9AM,Dr. Farooq Bhayat Clinic,24.91054,67.08111,OPERATIONAL,"point_of_interest, doctor, health, establishment"
ChIJE-txoDQ_sz4Rx6imJmZdVyU,Family care homeoclinic,24.9122132,67.0826888,OPERATIONAL,"point_of_interest, doctor, health, establishment"
ChIJT8WAw8c9sz4R7KR7f4P8zUo,Friends Optical & Audiology Centre (Rashid Minhas Rd),24.9214051,67.0936786,OPERATIONAL,"doctor, health, point_of_interest, store, establishment"
ChIJH5x4FOo_sz4R43P1UyTH9NQ,Surgi care clinic,24.9195975,67.075684,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJEbuFba4_sz4REOInYhBSJuo,Dr mustafa care and cure medical center,24.9171251,67.0797264,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJZ4t3ysc_sz4R1pUvszVbo04,Junaid Chiropractic Care,24.9196875,67.0830625,OPERATIONAL,"physiotherapist, doctor, health, point_of_interest, establishment"
ChIJHy7UZTM_sz4R5F_XvPgKB6o,Fizza Eye Care Center,24.920848,67.0922446,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJC1v-1No5sz4RHv8E6rg8K1c,DIABETIC CLINIC,24.928132,67.10489670000001,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJESBt8_U5sz4RRd8XDWMvcTQ,DR.ASIFA SHAKIR HOMOEO CLINIC,24.9283384,67.10868599999999,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJJ6_gfoo5sz4RCETUiDDLIuk,Dr.Syeda Anis Fatima Zaidi,24.927846,67.099445,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJcZyJ10E5sz4RX6dRLnVnbio,Zaheer Medical Center,24.9244009,67.1021318,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJwXb6rBc_sz4R8cPGS8NI20o,Al Haq Pharmacy,24.9145009,67.0678234,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJtey10jk_sz4RmX4ug7Ozdbw,Rajput Medical & General Store,24.917258,67.0670173,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJYagFnEA_sz4R1r43op2FOvU,Tayab Noor Medical,24.9090177,67.05885909999999,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJV3RNKAA_sz4R2x0YeT0-CFY,N.S Medical and General Store,24.909846,67.0580933,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJhaLaeZw_sz4RyWGyopIJ4tg,Bilal Medicos,24.9142032,67.0822793,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJubP-MT8_sz4RN_g-qBPS4jE,Homeopathy Clinic,24.9219488,67.0771879,OPERATIONAL,"drugstore, pharmacy, health, point_of_interest, store, establishment"
